movie_id,title,tags
19995,Avatar,22nd century paraplegic marine dispatched moon pandora unique mission becomes torn following orders protecting alien civilization action adventure fantasy sciencefiction samworthington zoesaldana sigourneyweaver jamescameron cultureclash future spacewar spacecolony society spacetravel futuristic romance space alien tribe alienplanet cgi marine soldier battle loveaffair antiwar powerrelations mindandsoul 3d
285,Pirates of the Caribbean: At World's End,captain barbossa long believed dead come back life headed edge earth turner elizabeth swann nothing quite seems adventure fantasy action johnnydepp orlandobloom keiraknightley goreverbinski ocean drugabuse exoticisland eastindiatradingcompany loveofoneslife traitor shipwreck strongwoman ship alliance calypso afterlife fighter pirate swashbuckler aftercreditsstinger
206647,Spectre,cryptic message bonds past sends trail uncover sinister organization battles political forces keep secret service alive bond peels back layers deceit reveal terrible truth behind spectre action adventure crime danielcraig christophwaltz laseydoux sammendes spy basedonnovel secretagent sequel mi6 britishsecretservice unitedkingdom
49026,The Dark Knight Rises,following death district attorney harvey dent batman assumes responsibility dents crimes protect late attorneys reputation subsequently hunted gotham city police department eight years later batman encounters mysterious selina kyle villainous bane new terrorist leader overwhelms gothams finest dark knight resurfaces protect city branded enemy action crime drama thriller christianbale michaelcaine garyoldman christophernolan dccomics crimefighter terrorist secretidentity burglar hostagedrama timebomb gothamcity vigilante coverup superhero villainess tragichero terrorism destruction catwoman catburglar imax flood criminalunderworld batman
49529,John Carter,john carter warweary former military captain whos inexplicably transported mysterious exotic planet barsoom mars reluctantly becomes embroiled epic conflict world brink collapse carter rediscovers humanity realizes survival barsoom people rests hands action adventure sciencefiction taylorkitsch lynncollins samanthamorton andrewstanton basedonnovel mars medallion spacetravel princess alien steampunk martian escape edgarriceburroughs alienrace superhumanstrength marscivilization swordandplanet 19thcentury 3d
559,Spider-Man 3,seemingly invincible spiderman goes allnew crop villain including shapeshifting sandman spidermans superpowers altered alien organism alter ego peter parker deals nemesis eddie brock also gets caught love triangle fantasy action adventure tobeymaguire kirstendunst jamesfranco samraimi dualidentity amnesia sandstorm loveofoneslife forgiveness spider wretch deathofafriend egomania sand narcism hostility marvelcomic sequel superhero revenge
38757,Tangled,kingdoms wantedand charmingbandit flynn rider hides mysterious tower hes taken hostage rapunzel beautiful feisty towerbound teen 70 feet magical golden hair flynns curious captor whos looking ticket tower shes locked away years strikes deal handsome thief unlikely duo sets actionpacked escapade complete supercop horse overprotective chameleon gruff gang pub thugs animation family zacharylevi mandymoore donnamurphy byronhoward nathangreno hostage magic horse fairytale musical princess animation tower blondewoman selfishness healingpower basedonfairytale duringcreditsstinger healinggift animalsidekick
99861,Avengers: Age of Ultron,tony stark tries jumpstart dormant peacekeeping program things go awry earths mightiest heroes put ultimate test fate planet hangs balance villainous ultron emerges avengers stop enacting terrible plans soon uneasy alliances unexpected action pave way epic unique global adventure action adventure sciencefiction robertdowneyjr chrishemsworth markruffalo josswhedon marvelcomic sequel superhero basedoncomicbook vision superheroteam duringcreditsstinger marvelcinematicuniverse 3d
767,Harry Potter and the Half-Blood Prince,harry begins sixth year hogwarts discovers old book marked property halfblood prince begins learn lord voldemorts dark past adventure fantasy family danielradcliffe rupertgrint emmawatson davidyates witch magic broom schoolofwitchcraft wizardry apparition teenagecrush werewolf
209112,Batman v Superman: Dawn of Justice,fearing actions godlike super hero left unchecked gotham citys formidable forceful vigilante takes metropoliss revered modernday savior world wrestles sort hero really needs batman superman war one another new threat quickly arises putting mankind greater danger ever known action adventure fantasy benaffleck henrycavill galgadot zacksnyder dccomics vigilante superhero basedoncomicbook revenge superpowers clarkkent brucewayne dcextendeduniverse
1452,Superman Returns,superman returns discover 5year absence allowed lex luthor walk free closest felt abandoned moved luthor plots ultimate revenge could see millions killed change face planet forever well ridding man steel adventure fantasy action sciencefiction brandonrouth kevinspacey katebosworth bryansinger savingtheworld dccomics invulnerability sequel superhero basedoncomicbook kryptonite superpowers superhumanstrength lexluthor
10764,Quantum of Solace,quantum solace continues adventures james bond casino royale betrayed vesper woman loved 007 fights urge make latest mission personal pursuing determination uncover truth bond interrogate mr white reveals organization blackmailed vesper far complex dangerous anyone imagined adventure action thriller crime danielcraig olgakurylenko mathieuamalric marcforster killing undercover secretagent britishsecretservice
58,Pirates of the Caribbean: Dead Man's Chest,captain jack sparrow works way blood debt ghostly davey jones also attempts avoid eternal damnation adventure fantasy action johnnydepp orlandobloom keiraknightley goreverbinski witch fortuneteller bondage exoticisland monster captain cardgame eastindiatradingcompany compass ship daughter pirate swashbuckler aftercreditsstinger
57201,The Lone Ranger,texas rangers chase gang outlaws led butch cavendish gang ambushes rangers seemingly killing one survivor found however american indian named tonto nurses back health ranger donning mask riding white stallion named silver teams tonto bring unscrupulous gang others ilk justice action adventure western johnnydepp armiehammer williamfichtner goreverbinski texas horse survivor texasranger partner outlaw escape lawyer train loneranger comanche theloneranger tonto
49521,Man of Steel,young boy learns extraordinary powers earth young man journeys discover came sent hero must emerge save world annihilation become symbol hope mankind action adventure fantasy sciencefiction henrycavill amyadams michaelshannon zacksnyder savingtheworld dccomics superhero basedoncomicbook superhuman alieninvasion reboot superpowers dcextendeduniverse
2454,The Chronicles of Narnia: Prince Caspian,one year incredible adventures lion witch wardrobe peter edmund lucy susan pevensie return narnia aid young prince whose life threatened evil king miraz help colorful cast new characters including trufflehunter badger nikabrik dwarf pevensie clan embarks incredible quest ensure narnia returned rightful heir adventure family fantasy benbarnes williammoseley annapopplewell andrewadamson basedonnovel fictionalplace brothersisterrelationship lion humanbeing wretch leapintime matteroflifeanddeath faith uncle narnia fantasyworld
24428,The Avengers,unexpected enemy emerges threatens global safety security nick fury director international peacekeeping agency known shield finds need team pull world back brink disaster spanning globe daring recruitment effort begins sciencefiction action adventure robertdowneyjr chrisevans markruffalo josswhedon newyork shield marvelcomic superhero basedoncomicbook alieninvasion superheroteam aftercreditsstinger duringcreditsstinger marvelcinematicuniverse
1865,Pirates of the Caribbean: On Stranger Tides,captain jack sparrow crosses paths woman past hes sure love shes ruthless con artist whos using find fabled fountain youth forces aboard queen annes revenge ship formidable pirate blackbeard jack finds unexpected adventure doesnt know fear blackbeard woman past adventure action fantasy johnnydepp penlopecruz ianmcshane robmarshall sea captain mutiny sword primeminister sailing silver ship duke mermaid pirate soldier battle swashbuckler aftercreditsstinger 3d
41154,Men in Black 3,agents j smith k tommy lee jones backin time j seen inexplicable things 15 years men black nothing even aliens perplexes much wry reticent partner ks life fate planet put stake agent j travel back time put things right j discovers secrets universe k never told secrets reveal teams young agent k josh brolin save partner agency future humankind action comedy sciencefiction willsmith tommyleejones joshbrolin barrysonnenfeld timetravel timemachine alien fictionalgovernmentagency seeingthefuture changinghistory
122917,The Hobbit: The Battle of the Five Armies,immediately events desolation smaug bilbo dwarves try defend erebors mountain treasure others claim men ruined laketown elves mirkwood meanwhile army orcs led azog defiler marching erebor fueled rise dark lord sauron dwarves elves men must unite hope middleearth falls bilbos hands action adventure fantasy martinfreeman ianmckellen richardarmitage peterjackson corruption elves dwarves orcs middleearthtolkien hobbit dragon battle unlikelyfriendship epicbattle swordandsorcery
1930,The Amazing Spider-Man,peter parker outcast high schooler abandoned parents boy leaving raised uncle ben aunt may like teenagers peter trying figure got person today peter discovers mysterious briefcase belonged father begins quest understand parents disappearance leading directly oscorp lab dr curt connors fathers former partner spiderman set collision course connors alter ego lizard peter make lifealtering choices use powers shape destiny become hero action adventure fantasy andrewgarfield emmastone rhysifans marcwebb lossoffather vigilante serum marvelcomic scientificexperiment spiderbite maskedvigilante reboot superpowers geneticengineering socialoutcast duringcreditsstinger
20662,Robin Hood,soldier robin happens upon dying robert loxley promises return mans sword family nottingham assumes roberts identity romances widow marion draws ire towns sheriff king johns henchman godfrey action adventure russellcrowe cateblanchett maxvonsydow ridleyscott robinhood archer knight sherwoodforest bowandarrow middleages medieval kingofengland
57158,The Hobbit: The Desolation of Smaug,dwarves bilbo gandalf successfully escaped misty mountains bilbo gained one ring continue journey get gold back dragon smaug adventure fantasy martinfreeman ianmckellen richardarmitage peterjackson elves dwarves orcs hobbit dragon wizard swordandsorcery
2268,The Golden Compass,overhearing shocking secret precocious orphan lyra belacqua trades carefree existence roaming halls jordan college otherworldly adventure far north unaware part destiny adventure fantasy dakotabluerichards nicolekidman danielcraig chrisweitz england compass experiment lordship uncle polarbear orphan animal basedonyoungadultnovel
254,King Kong,1933 new york overly ambitious movie producer coerces cast hired ship crew travel mysterious skull island encounter kong giant ape immediately smitten leading lady adventure drama action naomiwatts jackblack adrienbrody peterjackson filmbusiness screenplay showbusiness filmmaking filmproducer exoticisland monster indigenous ship dinosaur
597,Titanic,84 years later 101yearold woman named rose dewitt bukater tells story granddaughter lizzy calvert brock lovett lewis bodine bobby buell anatoly mikailavich keldysh life set april 10th 1912 ship called titanic young rose boards departing ship upperclass passengers mother ruth dewitt bukater fianc caledon hockley meanwhile drifter artist named jack dawson best friend fabrizio de rossi win thirdclass tickets ship game explains whole story departure death titanic first last voyage april 15th 1912 220 morning drama romance thriller katewinslet leonardodicaprio francesfisher jamescameron shipwreck iceberg ship panic titanic oceanliner epic richwomanpoorman love disaster tragiclove classdifferences imax starcrossedlovers steerage salvage richsnob 3d 1910s
271110,Captain America: Civil War,following events age ultron collective governments world pass act designed regulate superhuman activity polarizes opinion amongst avengers causing two factions side iron man captain america causes epic battle former allies adventure action sciencefiction chrisevans robertdowneyjr scarlettjohansson anthonyrusso joerusso civilwar war marvelcomic sequel superhero basedoncomicbook imax aftercreditsstinger duringcreditsstinger marvelcinematicuniverse 3d
44833,Battleship,mankind beams radio signal space reply comes planet g form several alien crafts splash waters hawaii lieutenant alex hopper weapons officer assigned uss john paul jones part international naval coalition becomes worlds last hope survival engage hostile alien force unimaginable strength taking invaders hopper must also try live potential brother fiances father admiral shane expect thriller action adventure sciencefiction taylorkitsch alexanderskarsgrd rihanna peterberg fight usnavy mindreading hongkong soccer scientist fictionalwar naval armada battleship navalcombat jdsmyoko lostcommunication taser buoy communicationsexpert jointchiefsofstaff crashlanding jetfighterpilot navylieutenant permissiontomarry ussjohnpauljones basedonboardgame aftercreditsstinger mightymo ussmissouri
135397,Jurassic World,twentytwo years events jurassic park isla nublar features fully functioning dinosaur theme park jurassic world originally envisioned john hammond action adventure sciencefiction thriller chrispratt brycedallashoward irrfankhan colintrevorrow monster dna tyrannosaurusrex velociraptor island sequel suspense disaster escape dinosaur amusementpark animalattack themepark jurassicpark 3d animalhorror
